Niveau,Wort,Klarwort,Übersetzung,Detail,Example1,Example2,Example3,Example4,Example5,
B1,Zustimmen,zustimmen,"zustimmen (Verb): to agree, to approve, to consent  das zustimmen (Noun): the act of agreeing, consenting","zustimmen (Verb): to agree, to approve, to consent  das Zustimmen (Noun): the act of agreeing, consenting🔄 Verb ConjugationsTrennbar regelmäßig Partizip II: zugestimmtPresent (Präsens):ich: stimme zudu: stimmst zuer/sie/es: stimmt zuwir: stimmen zuihr: stimmt zusie: stimmen zuPast (Präteritum):ich: stimmte zudu: stimmtest zuer/sie/es: stimmte zuwir: stimmten zuihr: stimmtet zusie: stimmten zu",Ich stimme zu.I agree.,Stimmst du dem Plan zu?Do you agree to the plan?3. Der Ausschuss stimmte dem Antrag zu.The committee approved the motion.,Das Zustimmen fiel ihm schwer.Agreeing was hard for him.,Sie hat nach kurzer Diskussion zugestimmt.She agreed after a short discussion.,,German Word (B1)
A2,Zusammen,zusammen,"zusammen (Adverb): together, jointly, in total  zusammen (Adjektiv): joint, collective, combined  das zusammen (Noun): the togetherness‌ (as concept), the being together","zusammen (Adverb): together, jointly, in total  zusammen (Adjektiv): joint, collective, combined  das Zusammen (Noun): the togetherness (as concept), the being together📊 Degrees of ComparisonPositive: zusammenComparative: mehr zusammenSuperlative: am meisten zusammen",Wir lernen zusammen.We study together.,Zusammen haben wir zehn Euro.Together we have ten euros (in total).,Heute arbeiten wir mehr zusammen als gestern.Today we work more together than yesterday.,Sie ist am meisten zusammen mit ihrer Familie am Wochenende.She is together the most with her family on weekends.,Das Zusammen ist wichtig.Togetherness is important.,German Word (A2)
A2,Zurück,zurück,"back, backwards, back to, in return","back, backwards, back to, in return📊 Degrees of ComparisonPositive: zurückComparative: mehr zurückSuperlative: am meisten zurück",Ich komme um acht Uhr zurück.I will come back at eight o'clock.,Bitte gib das Buch zurück.Please give the book back.,Er fährt heute zurück nach Berlin.He is going back to Berlin today.,Kannst du ein Stück zurück gehen?Can you step back a bit?5. Heute gehen wir mehr zurück als gestern.Today we go back more than yesterday.,,German Adverb (A2)
A1,Zumachen,zumachen,"zumachen (Verb): to close, to shut, to fasten‌ (zip/button), to close up‌ (a shop)  das zumachen (Noun): the closing, the act of closing","zumachen (Verb): to close, to shut, to fasten (zip/button), to close up (a shop)  das Zumachen (Noun): the closing, the act of closing🔄 Verb ConjugationsTrennbar regelmäßig Partizip II: zugemachtPresent (Präsens):ich: mache zudu: machst zuer/sie/es: macht zuwir: machen zuihr: macht zusie: machen zuPast (Präteritum):ich: machte zudu: machtest zuer/sie/es: machte zuwir: machten zuihr: machtet zusie: machten zu",Bitte mach das Fenster zu.Please close the window.,Der Laden macht um 18 Uhr zu.The shop closes at 6 p.m.,"Kannst du deine Jacke zumachen?Can you fasten your jacket?4. Nach dem Zumachen war es ruhig.After the closing, it was quiet.",Ich habe die Tür schnell zugemacht.I quickly closed the door.,,German Word (A1)
A2,Zum Beispiel,zum Beispiel,"zum Beispiel (Adverb): for example, for instance, e.g.  zum Beispiel (Kontraktion): to the example‌ (contraction of 'zu dem Beispiel')","zum Beispiel (Adverb): for example, for instance, e.g.  zum Beispiel (Kontraktion): to the example (contraction of 'zu dem Beispiel')","Ich mag Obst, zum Beispiel Äpfel und Birnen.I like fruit, for example apples and pears.","Wir treffen uns morgen, zum Beispiel um zehn Uhr.We meet tomorrow, for example at ten o'clock.","Nimm bitte etwas zum Beispiel einen Stift.Please take something, for example a pen.","Er erklärt es mit Bildern, zum Beispiel mit einfachen Grafiken.He explains it with pictures, for example with simple graphics.",,German Word (A2)
A1,Zum,zum,"to the, into the, for the‌ (with 'zu dem')","to the, into the, for the (with 'zu dem')",Ich gehe zum Arzt.I am going to the doctor.,Wir fahren zum Bahnhof.We are going to the train station.,Er nimmt Milch zum Kaffee.He takes milk with his coffee.,Sie kommt pünktlich zum Meeting.She arrives on time for the meeting.,,German Contraction (A1)
B1,Zuletzt,zuletzt,"in the end, finally, lastly, at the end, last time","in the end, finally, lastly, at the end, last time📊 Degrees of ComparisonPositive: zuletzt","Zuletzt sprechen wir über die Kosten.Lastly, we will talk about the costs.",Er hat das Buch zuletzt vor einem Jahr gelesen.He last read the book a year ago.,Zuletzt wurde das Gerät am Montag benutzt.The device was used last on Monday.,"Zuletzt noch ein Hinweis zur Prüfung.Lastly, one more note about the exam.",,German Adverb (B1)
A2,Zuhören,zuhören,"zuhören (Verb): to listen‌ (carefully), to pay attention‌ (by listening), to hear someone out  das zuhören (Noun): listening, attentive listening","zuhören (Verb): to listen (carefully), to pay attention (by listening), to hear someone out  das Zuhören (Noun): listening, attentive listening🔄 Verb ConjugationsTrennbar regelmäßig Partizip II: zugehörtPresent (Präsens):ich: höre zudu: hörst zuer/sie/es: hört zuwir: hören zuihr: hört zusie: hören zuPast (Präteritum):ich: hörte zudu: hörtest zuer/sie/es: hörte zuwir: hörten zuihr: hörtet zusie: hörten zu",Hör mir bitte zu.Please listen to me.,Die Kinder hören der Lehrerin zu.The children are listening to the teacher.,Gestern habe ich dir lange zugehört.Yesterday I listened to you for a long time.,Das Zuhören ist in diesem Kurs wichtig.Listening is important in this course.,,German Word (A2)
A2,Zufrieden,zufrieden,"zufrieden (Adjektiv): satisfied, content, pleased  das zufrieden (Noun): the content‌ (person), the satisfied‌ (person)","zufrieden (Adjektiv): satisfied, content, pleased  das Zufrieden (Noun): the content (person), the satisfied (person)📊 Degrees of ComparisonPositive: zufriedenComparative: zufriedenerSuperlative: am zufriedensten",Ich bin zufrieden.I am satisfied.,Sie ist mit dem Ergebnis zufriedener.She is more satisfied with the result.,"Wir sind am zufriedensten, wenn alle da sind.We are the most satisfied when everyone is here.",Die Zufriedenen gehen nach Hause.The satisfied (people) are going home.,,German Word (A2)
A1,Zu,zu,"zu (Präposition): to, at‌ (events/occasions), for, towards  zu (Adverb): closed, too‌ (short form)  zu (Kontraktion): to‌ (in contractions: zum = zu dem, zur = zu der)  zu (Partikel): too‌ (with adjectives), shut/closed‌ (colloquial, as predicate)","zu (Präposition): to, at (events/occasions), for, towards  zu (Adverb): closed, too (short form)  zu (Kontraktion): to (in contractions: zum = zu dem, zur = zu der)  zu (Partikel): too (with adjectives), shut/closed (colloquial, as predicate)",Ich gehe zu Maria.I am going to Maria.,Wir fahren heute zu der Schule.We are going to the school today.,Die Tür ist zu.The door is closed.,Es ist zu kalt.It is too cold.,Wir gehen zur Party.We are going to the party.,German Word (A1)
A2,Ziehen,ziehen,"ziehen (Verb): to pull, to drag, to draw‌ (pull out), to move‌ (house/city), to migrate  das ziehen (Noun): the act of pulling; pulling‌ (as an action)","ziehen (Verb): to pull, to drag, to draw (pull out), to move (house/city), to migrate  das Ziehen (Noun): the act of pulling; pulling (as an action)🔄 Verb Conjugationsunregelmäßig Partizip II: gezogenPresent (Präsens):ich: ziehedu: ziehster/sie/es: ziehtwir: ziehenihr: ziehtsie: ziehenPast (Präteritum):ich: zogdu: zogster/sie/es: zogwir: zogenihr: zogtsie: zogen",Ich ziehe die Tür zu.I pull the door shut.,Kannst du den Wagen ziehen?Can you pull the cart?3. Wir ziehen im Juli nach Berlin.We are moving to Berlin in July.,Das Ziehen dauert nur kurz.The pulling takes only a short time.,Er zog die Karte aus der Tasche.He pulled the card out of his pocket.,,German Word (A2)
A2,Zeigen,zeigen,"zeigen (Verb): to show, to display, to demonstrate, to point out  das zeigen (Noun): the act of showing, showing","zeigen (Verb): to show, to display, to demonstrate, to point out  das Zeigen (Noun): the act of showing, showing🔄 Verb Conjugationsregelmäßig Partizip II: gezeigtPresent (Präsens):ich: zeigedu: zeigster/sie/es: zeigtwir: zeigenihr: zeigtsie: zeigenPast (Präteritum):ich: zeigtedu: zeigtester/sie/es: zeigtewir: zeigtenihr: zeigtetsie: zeigten",Ich zeige dir das Foto.I am showing you the photo.,Der Lehrer zeigt die Lösung an der Tafel.The teacher shows the solution on the board.,Sie zeigt viel Geduld.She shows a lot of patience.,Er zeigt auf die Karte.He points to the map.,Das Zeigen ist hier erlaubt.Showing is allowed here.,German Word (A2)
A2,Zeichnen,zeichnen,"zeichnen (Verb): to draw, to sketch, to mark, to subscribe‌ (securities)  das zeichnen (Noun): drawing‌ (the act), sketching‌ (the act)","zeichnen (Verb): to draw, to sketch, to mark, to subscribe (securities)  das Zeichnen (Noun): drawing (the act), sketching (the act)🔄 Verb Conjugationsregelmäßig Partizip II: gezeichnetPresent (Präsens):ich: zeichnedu: zeichnester/sie/es: zeichnetwir: zeichnenihr: zeichnetsie: zeichnenPast (Präteritum):ich: zeichnetedu: zeichnetester/sie/es: zeichnetewir: zeichnetenihr: zeichnetetsie: zeichneten",Ich zeichne ein Haus.I am drawing a house.,Kannst du den Weg auf der Karte zeichnen?Can you draw the route on the map?3. Die Firma zeichnet neue Aktien.The company subscribes to new shares.,Das Zeichnen macht mir Spaß.I enjoy drawing.,Er zeichnet die Grenze mit einem Stift.He marks the border with a pen.,,German Word (A2)
A1,Zahlen,zahlen,"zahlen (Verb): to pay, to settle‌ (a bill), to cost‌ (be priced at), to pay‌ (figuratively)  das zahlen (Noun): the paying, the act of paying","zahlen (Verb): to pay, to settle (a bill), to cost (be priced at), to pay (figuratively)  das Zahlen (Noun): the paying, the act of paying🔄 Verb Conjugationsregelmäßig Partizip II: gezahltPresent (Präsens):ich: zahledu: zahlster/sie/es: zahltwir: zahlenihr: zahltsie: zahlenPast (Präteritum):ich: zahltedu: zahltester/sie/es: zahltewir: zahltenihr: zahltetsie: zahlten",Ich zahle bar.I pay in cash.,Zahlst du heute die Rechnung?Will you pay the bill today?3. Das Zahlen dauert nur eine Minute.The paying takes only a minute.,Für das Ticket habe ich zehn Euro gezahlt.I paid ten euros for the ticket.,,,German Word (A1)
A2,Wünschen,wünschen,"wünschen (Verb): to wish, to desire, to want‌ (politely), to express a wish  das wünschen (Noun): the act of wishing","wünschen (Verb): to wish, to desire, to want (politely), to express a wish  das Wünschen (Noun): the act of wishing🔄 Verb Conjugationsregelmäßig Partizip II: gewünschtPresent (Präsens):ich: wünschedu: wünschster/sie/es: wünschtwir: wünschenihr: wünschtsie: wünschenPast (Präteritum):ich: wünschtedu: wünschtester/sie/es: wünschtewir: wünschtenihr: wünschtetsie: wünschten",Ich wünsche dir viel Erfolg.I wish you much success.,Was wünschen Sie?What would you like?3. Er wünschte sich ein neues Fahrrad.He wished for a new bicycle.,Das Wünschen hilft hier nicht weiter.Wishing alone won’t help here.,,,German Word (A2)
A2,Wählen,wählen,"wählen (Verb): to choose, to select, to elect, to dial‌ (a number)  das wählen (Noun): the act of choosing, the act of electing","wählen (Verb): to choose, to select, to elect, to dial (a number)  das Wählen (Noun): the act of choosing, the act of electing🔄 Verb Conjugationsregelmäßig Partizip II: gewähltPresent (Präsens):ich: wähledu: wählster/sie/es: wähltwir: wählenihr: wähltsie: wählenPast (Präteritum):ich: wähltedu: wähltester/sie/es: wähltewir: wähltenihr: wähltetsie: wählten",Ich wähle das blaue T-Shirt.I choose the blue T-shirt.,Wir wählen morgen den neuen Stadtrat.We are electing the new city council tomorrow.,Bitte wählen Sie die Nummer erneut.Please dial the number again.,Das Wählen ist hier freiwillig.The act of choosing is voluntary here.,,German Word (A2)
A2,Wunderbar,wunderbar,"wunderbar (Adjektiv): wonderful, marvelous, lovely  wunderbar (Adverb): wonderfully, great, marvelously  das wunderbar (Noun): the wonderful‌ (abstract), all that is wonderful","wunderbar (Adjektiv): wonderful, marvelous, lovely  wunderbar (Adverb): wonderfully, great, marvelously  das Wunderbar (Noun): the wonderful (abstract), all that is wonderful📊 Degrees of ComparisonPositive: wunderbarComparative: wunderbarerSuperlative: am wunderbarsten",Das Essen ist wunderbar.The food is wonderful.,Heute läuft es noch wunderbarer als gestern.Today things are going even more wonderfully than yesterday.,Das war am wunderbarsten im ganzen Urlaub.That was the most wonderful thing in the whole vacation.,Sie singt wunderbar.She sings wonderfully.,"Das Wunderbare ist, dass alle helfen.The wonderful thing is that everyone helps.",German Word (A2)
A1,Wollen,wollen,"wollen (Verb): to want, to wish, to intend, to demand‌ (in set phrases)  das wollen (Noun): the act of wanting; wanting","wollen (Verb): to want, to wish, to intend, to demand (in set phrases)  das Wollen (Noun): the act of wanting; wanting🔄 Verb Conjugationsunregelmäßig Partizip II: gewolltPresent (Präsens):ich: willdu: willster/sie/es: willwir: wollenihr: wolltsie: wollenPast (Präteritum):ich: wolltedu: wolltester/sie/es: wolltewir: wolltenihr: wolltetsie: wollten",Ich will nach Hause.I want to go home.,Willst du Kaffee?Do you want coffee?3. Gestern wollten wir ins Kino.Yesterday we wanted to go to the cinema.,"Das Wollen ist stark, aber die Zeit fehlt.The wanting is strong, but time is lacking.",Er hat es so gewollt.He wanted it that way.,,German Word (A1)
A1,Wohnen,wohnen,"wohnen (Verb): to live‌ (reside), to reside, to dwell  das wohnen (Noun): living‌ (residing), residing","wohnen (Verb): to live (reside), to reside, to dwell  das Wohnen (Noun): living (residing), residing🔄 Verb Conjugationsregelmäßig Partizip II: gewohntPresent (Präsens):ich: wohnedu: wohnster/sie/es: wohntwir: wohnenihr: wohntsie: wohnenPast (Präteritum):ich: wohntedu: wohntester/sie/es: wohntewir: wohntenihr: wohntetsie: wohnten",Ich wohne in Berlin.I live in Berlin.,Wo wohnst du?Where do you live?3. Sie wohnt bei ihren Eltern.She lives with her parents.,Das Wohnen in der Stadt ist teuer.Living in the city is expensive.,,,German Word (A1)
A1,Wohin,wohin,"where to, to what place, in which direction","where to, to what place, in which direction📊 Degrees of ComparisonPositive: wohin","Wohin gehst du?Where are you going to?2. Wohin fahren wir heute?Where are we driving to today?3. Ich weiß nicht, wohin er will.I don't know where he wants to go.",Wohin mit dem Müll?Where to put the trash?,,,,German Adverb (A1)
A1,Woher,woher,"from where, where ... from, from what source","from where, where ... from, from what source📊 Degrees of ComparisonPositive: woher","Woher kommst du?Where are you from?2. Weißt du, woher diese Nachricht ist?Do you know where this message is from?3. Woher hast du die Idee?Where did you get the idea from?4. Ich frage mich, woher der Lärm kommt.I wonder where the noise is coming from.",,,,,German Adverb (A1)
A1,Wo,wo,"wo (Adverb): where, where‌ (to) in some collocations, where/that‌ (colloquial relative)","wo (Adverb): where, where (to) in some collocations, where/that (colloquial relative)📊 Degrees of ComparisonPositive: wo","Wo wohnst du?Where do you live?2. Wo ist die Toilette?Where is the toilet?3. Das ist der Park, wo wir oft spielen.This is the park where we often play.","Wo ich wohne, ist es ruhig.Where I live, it is quiet.",,,,German Word (A1)
A2,Witzig,witzig,"witzig (Adjektiv): funny, amusing, witty  das witzig (Noun): the funny‌ (thing), the amusing, the witty","witzig (Adjektiv): funny, amusing, witty  das Witzig (Noun): the funny (thing), the amusing, the witty📊 Degrees of ComparisonPositive: witzigComparative: witzigerSuperlative: am witzigsten",Der Film ist witzig.The movie is funny.,Dieses Buch ist witziger als das andere.This book is funnier than the other one.,Er ist am witzigsten in der Gruppe.He is the funniest in the group.,Das Witzige an der Geschichte ist das Ende.The funny thing about the story is the ending.,,German Word (A2)
B2,Wissenschaftlich,wissenschaftlich,"wissenschaftlich (Adjektiv): scientific, scholarly, academically, evidence-based  das wissenschaftlich (Noun): the scientific‌ (as a concept), scientificness","wissenschaftlich (Adjektiv): scientific, scholarly, academically, evidence-based  das Wissenschaftlich (Noun): the scientific (as a concept), scientificness📊 Degrees of ComparisonPositive: wissenschaftlichComparative: wissenschaftlicherSuperlative: am wissenschaftlichsten",Die Studie ist wissenschaftlich solide.The study is scientifically sound.,Wir arbeiten heute wissenschaftlicher als früher.We work more scientifically today than before.,"Das ist am wissenschaftlichsten, wenn wir die Daten offen teilen.It is most scientific when we share the data openly.",Das Wissenschaftliche steht in diesem Bericht im Vordergrund.The scientific aspect is in the foreground in this report.,,German Word (B2)
A1,Wissen,wissen,"wissen (Verb): to know, to be aware‌ (of), to be cognizant of  das wissen (Noun): knowledge, awareness","wissen (Verb): to know, to be aware (of), to be cognizant of  das Wissen (Noun): knowledge, awareness🔄 Verb Conjugationsunregelmäßig Partizip II: gewusstPresent (Präsens):ich: weißdu: weißter/sie/es: weißwir: wissenihr: wisstsie: wissenPast (Präteritum):ich: wusstedu: wusstester/sie/es: wusstewir: wusstenihr: wusstetsie: wussten",Ich weiß es nicht.I don't know.,Weißt du die Antwort?Do you know the answer?3. Er hat das schon gewusst.He already knew that.,Das Wissen ist wichtig.Knowledge is important.,Wir wussten nichts davon.We knew nothing about it.,,German Word (A1)
B2,Wirksam,wirksam,"wirksam (Adjektiv): effective, efficacious, in force, valid‌ (in effect), working  wirksam (Adverb): effectively, with effect, in force  das wirksam (Noun): the effective‌ (quality), that which is effective","wirksam (Adjektiv): effective, efficacious, in force, valid (in effect), working  wirksam (Adverb): effectively, with effect, in force  das Wirksam (Noun): the effective (quality), that which is effective📊 Degrees of ComparisonPositive: wirksamComparative: wirksamerSuperlative: am wirksamsten",Die Medizin ist wirksam.The medicine is effective.,Dieses Spray wirkt wirksamer als das alte.This spray works more effectively than the old one.,Das war am wirksamsten bei Husten.That was the most effective for cough.,Der Vertrag ist ab heute wirksam.The contract is in force from today.,Das Wirksame ist oft ganz einfach.What is effective is often very simple.,German Word (B2)
A2,Wirklich,wirklich,"wirklich (Adjektiv): real, actual, genuine  wirklich (Adverb): really, truly, indeed  das wirklich (Noun): the real‌ (as a noun), the genuine‌ (as a noun)","wirklich (Adjektiv): real, actual, genuine  wirklich (Adverb): really, truly, indeed  das Wirklich (Noun): the real (as a noun), the genuine (as a noun)📊 Degrees of ComparisonPositive: wirklichComparative: wirklicherSuperlative: am wirklichsten",Ist das wirklich so?Is that really so?2. Das ist ein wirklich gutes Buch.This is a really good book.,Dieser Plan ist wirklicher als der alte.This plan is more real than the old one.,Das war am wirklichsten in diesem Moment.That was the most real at that moment.,Das Wirkliche ist oft einfach.The real is often simple.,,German Word (A2)
A1,Wir,wir,"we, us‌ (as object pronoun in English)","we, us (as object pronoun in English)",Wir kommen aus Berlin.We are from Berlin.,Wir gehen heute ins Kino.We are going to the cinema today.,"Wir sind müde, aber glücklich.We are tired but happy.",Wir lernen Deutsch.We are learning German.,,German Pronoun (A1)
A2,Windig,windig,"windig (Adjektiv): windy, blustery, gusty  das windig (Noun): windiness, windy weather","windig (Adjektiv): windy, blustery, gusty  das Windig (Noun): windiness, windy weather📊 Degrees of ComparisonPositive: windigComparative: windigerSuperlative: am windigsten",Heute ist es windig.It is windy today.,Morgen wird es noch windiger.Tomorrow it will be even windier.,Am Wochenende war es am windigsten.It was windiest on the weekend.,Das Windige gefällt mir nicht.I don't like the windiness.,,German Word (A2)
A1,Willkommen,willkommen,"willkommen (Adjektiv): welcome, welcome‌ (adjective), well-received  willkommen (Adverb): welcome, gladly received  das willkommen (Noun): the welcome‌ (quality of being welcome), welcomeness‌ (substantivized adj.)","willkommen (Adjektiv): welcome, welcome (adjective), well-received  willkommen (Adverb): welcome, gladly received  das Willkommen (Noun): the welcome (quality of being welcome), welcomeness (substantivized adj.)📊 Degrees of ComparisonPositive: willkommenComparative: willkommenerSuperlative: am willkommensten",Du bist hier immer willkommen.You are always welcome here.,Dieses Feedback ist willkommener als Kritik.This feedback is more welcome than criticism.,Das ist am willkommensten für unser Team.That is most welcome for our team.,Willkommen in Berlin!Welcome to Berlin!5. Das Willkommen ist ehrlich.The welcome is sincere.,,German Word (A1)
A2,Wiederholen,wiederholen,"wiederholen (Verb): to repeat, to do again, to revise‌ (review)  das wiederholen (Noun): repeating, repetition‌ (the act)","wiederholen (Verb): to repeat, to do again, to revise (review)  das Wiederholen (Noun): repeating, repetition (the act)🔄 Verb Conjugationsregelmäßig Partizip II: wiederholtPresent (Präsens):ich: wiederholedu: wiederholster/sie/es: wiederholtwir: wiederholenihr: wiederholtsie: wiederholenPast (Präteritum):ich: wiederholtedu: wiederholtester/sie/es: wiederholtewir: wiederholtenihr: wiederholtetsie: wiederholten",Können Sie das bitte wiederholen?Could you please repeat that?2. Ich wiederhole die Wörter jeden Tag.I repeat the words every day.,Er musste die Prüfung wiederholen.He had to retake the exam.,Das Wiederholen hilft mir beim Lernen.Repeating helps me with learning.,Bitte wiederholen Sie langsam.Please repeat slowly.,,German Word (A2)
A1,Wieder,wieder,"again, once more, back‌ (again), anew","again, once more, back (again), anew📊 Degrees of ComparisonPositive: wieder",Ich komme morgen wieder.I will come again tomorrow.,Kannst du das wieder sagen?Can you say that again?3. Alles ist wieder gut.Everything is fine again.,Wir sehen uns wieder.We will see each other again.,,,German Adverb (A1)
A1,Wie,wie,"wie (Adverb): how, in what way, how much, as  wie (Partikel): how‌ (exclamatory particle), what‌ (exclamatory)","wie (Adverb): how, in what way, how much, as  wie (Partikel): how (exclamatory particle), what (exclamatory)📊 Degrees of ComparisonPositive: wie",Wie geht es dir?How are you?2. Wie macht man das?How do you do that?3. Er ist so groß wie sie.He is as tall as she is.,Wie schön!How lovely!5. Wie spät ist es?What time is it?,,,,German Word (A1)
A1,Wichtig,wichtig,"wichtig (Adjektiv): important, significant, crucial, essential  das wichtig (Noun): the important‌ (thing), the important‌ (people/things)","wichtig (Adjektiv): important, significant, crucial, essential  das Wichtig (Noun): the important (thing), the important (people/things)📊 Degrees of ComparisonPositive: wichtigComparative: wichtigerSuperlative: am wichtigsten",Das Thema ist wichtig.The topic is important.,Dieses Treffen ist wichtiger als das letzte.This meeting is more important than the last one.,Sicherheit ist am wichtigsten.Safety is most important.,Konzentriere dich auf das Wichtige.Focus on the important things.,Die Wichtigen sitzen vorne.The important people sit in front.,German Word (A1)
B2,Wesentlich,wesentlich,"wesentlich (Adjektiv): essential, substantial, significant, fundamental  wesentlich (Adverb): essentially, substantially, significantly, for the most part  das wesentlich (Noun): the essential, what is essential, the most important","wesentlich (Adjektiv): essential, substantial, significant, fundamental  wesentlich (Adverb): essentially, substantially, significantly, for the most part  das Wesentlich (Noun): the essential, what is essential, the most important📊 Degrees of ComparisonPositive: wesentlichComparative: wesentlicherSuperlative: am wesentlichsten",Das ist eine wesentliche Frage.This is an essential question.,Die Leistung ist jetzt wesentlicher für das Ergebnis.Performance is now more essential for the result.,Das war am wesentlichsten für den Erfolg.That was the most essential for the success.,Es wurde wesentlich besser.It became substantially better.,Wir konzentrieren uns auf das Wesentliche.We focus on what is essential.,German Word (B2)
A2,Werden,werden,"werden (Verb): to become, to be‌ (auxiliary in passive), will‌ (future auxiliary), to turn out  das werden (Noun): becoming, coming-into-being","werden (Verb): to become, to be (auxiliary in passive), will (future auxiliary), to turn out  das Werden (Noun): becoming, coming-into-being🔄 Verb Conjugationsunregelmäßig Partizip II: gewordenPresent (Präsens):ich: werdedu: wirster/sie/es: wirdwir: werdenihr: werdetsie: werdenPast (Präteritum):ich: wurdedu: wurdester/sie/es: wurdewir: wurdenihr: wurdetsie: wurden",Ich werde müde.I am becoming tired.,Morgen werde ich früher aufstehen.Tomorrow I will get up earlier.,Das Haus wird gebaut.The house is being built.,Wie wird das Essen?How is the food turning out?5. Das Werden dieser Stadt war nicht leicht.The becoming of this city was not easy.,,German Word (A2)
A1,Wer,wer,who,who,"Wer bist du?Who are you?2. Wer kommt heute?Who is coming today?3. Ich kenne jemanden, wer gut hilft.I know someone who helps well.","Wer das macht, bekommt ein Geschenk.Whoever does that will get a present.",,,,German Pronoun (A1)
A2,Wenn,wenn,"wenn (Konjunktion): if, when‌ (whenever, repeated action), in case  wenn (Partikel): if‌ (emphatic in conditional clauses), and if","wenn (Konjunktion): if, when (whenever, repeated action), in case  wenn (Partikel): if (emphatic in conditional clauses), and if","Wenn es regnet, bleiben wir zu Hause.If it rains, we stay at home.","Wenn ich Zeit habe, rufe ich dich an.If I have time, I call you.","Wenn ich Kaffee trinke, schlafe ich schlecht.When I drink coffee, I sleep badly.","Und wenn es spät wird, schreiben wir eine Nachricht.And if it gets late, we will write a message.","Wenn du willst, gehen wir jetzt.If you want, we can go now.",German Word (A2)
A2,Wenigstens,wenigstens,"at least, at the very least, minimum","at least, at the very least, minimum📊 Degrees of ComparisonPositive: wenigstens","Ich habe keine Zeit, aber ich rufe dich wenigstens kurz an.I have no time, but I will at least call you briefly.","Es ist kalt, aber die Sonne scheint wenigstens.It is cold, but at least the sun is shining.","Wir haben das Spiel verloren, wenigstens haben wir ein Tor geschossen.We lost the game, but at least we scored a goal.","Wenn du nicht kommen kannst, schreib mir wenigstens eine Nachricht.If you can't come, at least send me a message.",,German Adverb (A2)
A1,Wenig,wenig,"wenig (Adjektiv): little, few‌ (amount/quantity), scarce  wenig (Adverb): little, not much  das wenig (Noun): the little‌ (amount)","wenig (Adjektiv): little, few (amount/quantity), scarce  wenig (Adverb): little, not much  das Wenig (Noun): the little (amount)📊 Degrees of ComparisonPositive: wenigComparative: wenigerSuperlative: am wenigsten",Ich habe wenig Zeit.I have little time.,Er spricht wenig.He speaks little.,Heute ist weniger Verkehr.There is less traffic today.,Das ist am wenigsten wichtig.This is the least important.,Das Wenig hilft uns trotzdem.The little still helps us.,German Word (A1)
A1,Welche,welche,"welche (Pronomen): which‌ (fem. sg./nom., acc.), which‌ (plural/nom., acc.)","welche (Pronomen): which (fem. sg./nom., acc.), which (plural/nom., acc.)","Welche Farbe magst du?Which color do you like?2. Welche Bücher sind hier neu?Which books are new here?3. Ich nehme die, welche du empfiehlst.I’ll take those which you recommend.",Welche Tasche ist deine?Which bag is yours?,,,,German Word (A1)
A2,Weiter,weiter,"weiter (Adverb): further, on, ahead, continue  weiter (Adjektiv): further, additional, more  das weiter (Noun): the further‌ (thing), the continuation‌ (as abstract)","weiter (Adverb): further, on, ahead, continue  weiter (Adjektiv): further, additional, more  das Weiter (Noun): the further (thing), the continuation (as abstract)📊 Degrees of ComparisonPositive: weiterComparative: weiterSuperlative: am weitesten",Gehen wir weiter.Let's go on.,"Lies weiter, bitte.Keep reading, please.",Hast du weitere Fragen?Do you have further questions?4. Wie kommen wir weiter als gestern?How do we get further than yesterday?5. Das Weitere besprechen wir morgen.We will discuss the further details tomorrow.,,,German Word (A2)
A2,Weit,weit,"weit (Adjektiv): wide, broad, far‌ (in extent)  weit (Adverb): far, further, widely  das weit (Noun): the far‌ (extent), breadth‌ (figurative)","weit (Adjektiv): wide, broad, far (in extent)  weit (Adverb): far, further, widely  das Weit (Noun): the far (extent), breadth (figurative)📊 Degrees of ComparisonPositive: weitComparative: weiterSuperlative: am weitesten",Die Straße ist weit und gerade.The road is wide and straight.,Das Ziel ist noch weit.The goal is still far.,Wir gehen heute weiter als gestern.We are going further today than yesterday.,Hier sieht man am weitesten vom Turm.From the tower you can see the farthest here.,Er blickt ins Weite und lächelt.He looks into the distance and smiles.,German Word (A2)
A1,Weinen,weinen,"weinen (Verb): to cry, to weep, to shed tears  das weinen (Noun): crying, weeping","weinen (Verb): to cry, to weep, to shed tears  das Weinen (Noun): crying, weeping🔄 Verb Conjugationsregelmäßig Partizip II: geweintPresent (Präsens):ich: weinedu: weinester/sie/es: weintwir: weinenihr: weintsie: weinenPast (Präteritum):ich: weintedu: weintester/sie/es: weintewir: weintenihr: weintetsie: weinten",Das Baby weint.The baby is crying.,Er weinte vor Freude.He cried with joy.,Ihr weint zu laut.You are crying too loudly.,Das Weinen hörte nach einer Minute auf.The crying stopped after a minute.,,German Word (A1)
A2,Weil,weil,"because, since‌ (because)","because, since (because)","Ich bleibe zu Hause, weil ich müde bin.I am staying at home because I am tired.","Wir gehen nicht schwimmen, weil es kalt ist.We are not going swimming because it is cold.","Er nimmt den Bus, weil er kein Auto hat.He takes the bus because he has no car.","Sie bleibt hier, weil sie auf dich wartet.She is staying here because she is waiting for you.",,German Conjunction (A2)
